Транскрипция записи "ФКР. Статус" 05 августа 2026 г

**00:00:00** **Алина Аванесян:** С нами сегодня на встрече команда разработки. Хотели бы детально обсудить вопросы, возникающие по этой задаче, для корректной оценки. В контексте, у нас фильтры есть множественные с единичным выбором. Запрос, чтобы когда пользователь переходил со страницы с множественным выбором на страницу с единичным выбором, а потом возвращался обратно, возможно ли сохранить исходный множественный выбор, чтобы при возвращении он восстанавливался. Я предлагаю расшарить экран, или Владислав, я смотрю, ты уже расшарил, со схемой, которую вы, Михаил, сегодня направили, чтобы мы обсудили. Кто расшарит?

**00:00:41** **Михаил Кузьменко ФК:** А кто расшарит?

**00:00:44** **Алина Аванесян:** Предлагаю я. Я просто, Влад, расшарю, может быть, он хочет пока.

**00:00:46** **Владислав Харченко:** Да, параллельно я дашборд.

**00:00:48** **Владимир Кудрин:** Как, коллеги, а давайте чуть раньше, то есть там предлагается какое-то решение, можете немного в задачу вести, вы какую задачу пытаетесь решить, может, бизнес-сценарий какой-то описать, бизнес-кейс, который вы решаете?

**00:01:03** **Михаил Кузьменко ФК:** Да, давайте. Ну, то есть наша идея, она из-за того, что у нас получается на дашборде есть примерно одинаковое количество отчётов с множественным выбором в фильтре проектных офисов и с единственным. И если предполагать, что пользователь переключается по верхним кнопкам, по верхнему меню, переходит от того отчёта к другому, то получается так, что этот фильтр постоянно сбрасывается. Потому что у нас не наследуется фильтр между множественным выбором и единичным выбором. И это приводит к тому, что если он переключается между разными типами экранов с разными типами фильтров, то каждый раз ему необходимо выбирать новый, делать выбор заново в этом фильтре. Поэтому вот то, что сказала сейчас Алина, идея в том, чтобы при первом входе на дашборд, когда сессия начинается, мы отображали множественный фильтр с выбором по умолчанию, то есть это все. Единственный выбор, как у нас сейчас сделано, он отображает первый выбор, Алтайский край, по-моему, у нас. Допустим, вот на карточку ВПО, если перейти, тут Минкультура, ну, не знаю, это уже выбор по умолчанию или вы, Владислав, что-то выбрали.

**00:02:36** **Владислав Харченко:** Это по умолчанию.

**00:02:39** **Михаил Кузьменко ФК:** Ну, значит, Минкультура у нас по умолчанию. Странный выбор, но какой есть. Соответственно, если он переходит между экранами, то он будет терять свой выбор, и ему будет совершенно некомфортно выбирать, ну, то есть возвращаться каждый раз к выбору. Вот Алина сказала, то есть идея изначально была в том, чтобы у нас был некий, ну, то есть фильтр, множественный фильтр единичным выбором, он сохранялся во время сессии. То есть пользователь переключался, но каждый раз, когда он попадал на фильтр, допустим, множественный, ему отображалось предыдущее значение, которое он выбрал в какой-то момент, или которое было выбрано по умолчанию. То же самое с единичным выбором. Ну, там на схеме чуть сложнее, потому что мы на схеме пофантазировали и придумали еще там один переход, но это надо на схеме показывать. Опять же, это мы схему нарисовали для обсуждения, для того, чтобы с вами решить, насколько это реализуемо.

**00:03:50** **Вадим Мединцев:** Угу. Сразу небольшие уточнения, давай ты спросил.

**00:03:52** **Роман Чернышов:** А вот, с... Ага. Я хотел еще просто вот для наглядности. Вот у нас базовый сценарий. Первоначально пользователь заходит на который отчёт? Главный экран ВПО или как?

**00:04:06** **Михаил Кузьменко ФК:** На главный экран, обычно да. Ну, то есть теоретически он может зайти на другие, если у него есть какая-то прямая ссылка. Но, наверное, в подавляющем числе случаев он попадает на главный экран.

**00:04:07** **Роман Чернышов:** Да, Влад, давай перейдём.

**00:04:18** **Роман Чернышов:** Далее он в каком-то из фильтров, что наименование ВПО, выбирает.

**00:04:23** **Михаил Кузьменко ФК:** Да, вот здесь он может выбрать... Например, несколько значений. Да. Тут они еще более-менее помещаются на один экран, но если мы на региональном уровне будем смотреть, их там всё-таки много. И он теоретически может выбрать, допустим, свой федеральный округ. И, соответственно, ему интересно потом, чтобы... Ну, а здесь, соответственно, он может каких-нибудь там лидеров выбрать, чтобы с ними сравнить себя.

**00:04:53** **Роман Чернышов:** Так, хорошо. А тут нормально это на ВПО смотреть или нам надо на РПО смотреть лучше, где будет поле показательно?

**00:04:59** **Михаил Кузьменко ФК:** Да, разницы нет. Единственное, что в РПО большее количество офисов, скажем так.

**00:05:04** **Роман Чернышов:** Хорошо. Вот выбрали здесь сейчас пять значений. Дальше пользователь идёт...

**00:05:13** **Михаил Кузьменко ФК:** Мы точно 5 выбрали?

**00:05:14** **Владислав Харченко:** Тут 5 выбрали, но так как первого квартала не все...

**00:05:22** **Михаил Кузьменко ФК:** Здесь, потому что вот, да, здесь, я так понимаю, что здесь ГПшные тоже отображаются. И это вот тоже странно, если честно. Но это другая история. Но вот у нас сейчас наверху есть фильтр в виде переключателя НП/ГП около главный экран. И он, то есть фильтр, который срабатывает... Ну, то есть он выше уровнем, чем вот фильтр проектных офисов. И по-хорошему он должен, наверное, фильтровать список в фильтре проектных офисов. Но это не происходит.

**00:06:03** **Роман Чернышов:** Хорошо. Так, а по основному сценарию, значит, вот мы выбрали некие 5 ВПО.

**00:06:13** **Михаил Кузьменко ФК:** Так, да. И теперь пользователь переключается на карточку ВПО.

**00:06:24** **Владислав Харченко:** Тут сейчас стоит добавить, что в компонент, который вверху используются, это кнопки. И при переходе на карточку ВПО пока что передача фильтров отключена.

**00:06:39** **Роман Чернышов:** Включена... ага.

**00:06:40** **Михаил Кузьменко ФК:** Она отключена, потому что там множественный выбор, здесь единичный выбор. И поэтому, когда она была включена, сюда переходило значение, всё... насколько я помню, которого здесь не должно быть в принципе.

**00:06:55** **Роман Чернышов:** Ну, хотя нет, там наверное должно было передаться, что вот наименование ВПО и выбрано 5. То есть сейчас здесь наименование ВПО, фильтр, это фильтр с единичным выбором. Так ведь, да? Вот, давай его посмотрим. Минкультура выбран, угу. Он, видимо, ниже где-то. С передачей фильтров, скорее всего, этот фильтр превращался в список со множественным выбором. И вот это поведение, его хотелось бы избежать вот здесь.

**00:07:25** **Михаил Кузьменко ФК:** Ну, то есть этот экран, он предназначен для единственного выбора, карточка ВПО.

**00:07:38** **Михаил Кузьменко ФК:** Да. Соответственно, здесь вот особенно верхние виджеты, они становятся... Ну, то есть они совершенно непонятные вещи начинают отображать при множественном выборе.

**00:07:50** **Роман Чернышов:** Угу. А получается, что пользователь вот на... в главном экране вот он выбрал 5, сюда он переходит, и тогда вот в целевой картине он должен видеть, какой из этих пяти или вот какой он тут должен увидеть?

